2016/11/21 14:28:34 [error] 7#7: *1 open() "/home/s/web/com/steven-luong/manager/html" failed (2: No such file or directory), client: 111.73.46.227, server: , request: "GET /manager/html HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:33 [error] 6#6: *55 open() "/home/s/web/com/steven-luong/hudson/script" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /hudson/script HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:33 [error] 6#6: *56 open() "/home/s/web/com/steven-luong/login" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /login HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 6#6: *57 open() "/home/s/web/com/steven-luong/jenkins/login" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /jenkins/login HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 6#6: *58 open() "/home/s/web/com/steven-luong/hudson/login" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /hudson/login HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 7#7: *59 open() "/home/s/web/com/steven-luong/jmx-console" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /jmx-console HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 6#6: *60 open() "/home/s/web/com/steven-luong/manager/html" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /manager/html HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 7#7: *61 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 149.202.72.240, server: , request: "GET / HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 6#6: *62 open() "/home/s/web/com/steven-luong/administrator" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET //administrator HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 7#7: *63 open() "/home/s/web/com/steven-luong/joomla/administrator" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /joomla/administrator HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 6#6: *64 open() "/home/s/web/com/steven-luong/cms/administrator" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /cms/administrator HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 7#7: *65 open() "/home/s/web/com/steven-luong/Joomla/administrator" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /Joomla/administrator HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 6#6: *66 open() "/home/s/web/com/steven-luong/msd" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /msd HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 7#7: *67 open() "/home/s/web/com/steven-luong/mySqlDumper" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /mySqlDumper HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 6#6: *68 open() "/home/s/web/com/steven-luong/msd1.24stable" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /msd1.24stable HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 7#7: *69 open() "/home/s/web/com/steven-luong/msd1.24.4" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /msd1.24.4 HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 6#6: *70 open() "/home/s/web/com/steven-luong/mysqldumper" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /mysqldumper HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 7#7: *71 open() "/home/s/web/com/steven-luong/MySQLDumper" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /MySQLDumper HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 6#6: *72 open() "/home/s/web/com/steven-luong/mysql" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /mysql HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 7#7: *73 open() "/home/s/web/com/steven-luong/sql" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /sql HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 6#6: *74 open() "/home/s/web/com/steven-luong/cgi-bin/php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /cgi-bin/php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 7#7: *75 open() "/home/s/web/com/steven-luong/cgi-bin/php5" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /cgi-bin/php5 HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *76 open() "/home/s/web/com/steven-luong/phpmyadmin" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /phpmyadmin HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 7#7: *77 open() "/home/s/web/com/steven-luong/phpMyAdmin" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /phpMyAdmin HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *78 open() "/home/s/web/com/steven-luong/mysql" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /mysql HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 7#7: *79 open() "/home/s/web/com/steven-luong/sql" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /sql HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *80 open() "/home/s/web/com/steven-luong/myadmin" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /myadmin HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 7#7: *81 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 149.202.72.240, server: , request: "GET / HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *82 open() "/home/s/web/com/steven-luong/sqlite/main.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /sqlite/main.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 7#7: *83 open() "/home/s/web/com/steven-luong/SQLite/SQLiteManager-1.2.4/main.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /SQLite/SQLiteManager-1.2.4/main.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *84 open() "/home/s/web/com/steven-luong/SQLiteManager-1.2.4/main.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /SQLiteManager-1.2.4/main.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 7#7: *85 open() "/home/s/web/com/steven-luong/sqlitemanager/main.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /sqlitemanager/main.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *86 open() "/home/s/web/com/steven-luong/SQlite/main.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /SQlite/main.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 7#7: *87 open() "/home/s/web/com/steven-luong/SQLiteManager/main.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /SQLiteManager/main.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *88 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 149.202.72.240, server: , request: "GET / HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *89 open() "/home/s/web/com/steven-luong/wp-login.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET //wp-login.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *90 open() "/home/s/web/com/steven-luong/wordpress/wp-login.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /wordpress/wp-login.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *91 open() "/home/s/web/com/steven-luong/wp/wp-login.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /wp/wp-login.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 7#7: *92 open() "/home/s/web/com/steven-luong/blog/wp-login.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /blog/wp-login.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *93 open() "/home/s/web/com/steven-luong/Wordpress/wp-login.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /Wordpress/wp-login.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 7#7: *94 open() "/home/s/web/com/steven-luong/Blog/wp-login.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /Blog/wp-login.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:51:30 [error] 7#7: *95 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 138.68.77.133, server: , request: "GET http://www.depacelectro.com/ HTTP/1.1", host: "www.depacelectro.com"
2016/11/22 18:15:55 [error] 6#6: *96 open() "/home/s/web/com/steven-luong/robots.txt" failed (2: No such file or directory), client: 68.180.229.92, server: , request: "GET /robots.txt HTTP/1.1", host: "slapps.fr:8888"
2016/11/22 18:15:55 [error] 6#6: *97 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 68.180.229.92, server: , request: "GET / HTTP/1.1", host: "slapps.fr:8888"
2016/11/22 19:28:12 [error] 7#7: *98 open() "/home/s/web/com/steven-luong/robots.txt" failed (2: No such file or directory), client: 157.55.39.13, server: , request: "GET /robots.txt HTTP/1.1", host: "slapps.fr"
2016/11/22 19:47:46 [error] 7#7: *101 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 138.68.77.133, server: , request: "GET http://www.depacelectro.com/ HTTP/1.1", host: "www.depacelectro.com"
2016/11/23 00:22:55 [error] 6#6: *102 open() "/home/s/web/com/steven-luong/jmx-console" failed (2: No such file or directory), client: 151.80.138.177, server: , request: "GET /jmx-console HTTP/1.1", host: "91.121.13.22:8888"
2016/11/23 00:22:55 [error] 6#6: *103 open() "/home/s/web/com/steven-luong/script" failed (2: No such file or directory), client: 151.80.138.177, server: , request: "GET /script HTTP/1.1", host: "91.121.13.22:8888"
2016/11/23 00:22:55 [error] 7#7: *104 open() "/home/s/web/com/steven-luong/jenkins/script" failed (2: No such file or directory), client: 151.80.138.177, server: , request: "GET /jenkins/script HTTP/1.1", host: "91.121.13.22:8888"
2016/11/23 00:22:55 [error] 6#6: *105 open() "/home/s/web/com/steven-luong/hudson/script" failed (2: No such file or directory), client: 151.80.138.177, server: , request: "GET /hudson/script HTTP/1.1", host: "91.121.13.22:8888"
2016/11/23 00:22:55 [error] 7#7: *106 open() "/home/s/web/com/steven-luong/login" failed (2: No such file or directory), client: 151.80.138.177, server: , request: "GET /login HTTP/1.1", host: "91.121.13.22:8888"
2016/11/23 00:22:55 [error] 7#7: *107 open() "/home/s/web/com/steven-luong/jenkins/login" failed (2: No such file or directory), client: 151.80.138.177, server: , request: "GET /jenkins/login HTTP/1.1", host: "91.121.13.22:8888"
2016/11/23 00:22:55 [error] 7#7: *108 open() "/home/s/web/com/steven-luong/hudson/login" failed (2: No such file or directory), client: 151.80.138.177, server: , request: "GET /hudson/login HTTP/1.1", host: "91.121.13.22:8888"
2016/11/23 00:22:55 [error] 6#6: *109 open() "/home/s/web/com/steven-luong/manager/html" failed (2: No such file or directory), client: 151.80.138.177, server: , request: "GET /manager/html HTTP/1.1", host: "91.121.13.22:8888"
2016/11/23 06:41:22 [error] 6#6: *110 open() "/home/s/web/com/steven-luong/cache/global/img/gs.gif" failed (2: No such file or directory), client: 93.174.93.136, server: , request: "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1", host: "www.baidu.com"
2016/11/23 09:59:30 [error] 7#7: *111 open() "/home/s/web/com/steven-luong/cache/global/img/gs.gif" failed (2: No such file or directory), client: 94.102.49.174, server: , request: "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1", host: "www.baidu.com"
2016/11/23 15:43:36 [error] 6#6: *112 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 46.101.183.14, server: , request: "GET http://www.depacelectro.com/ HTTP/1.1", host: "www.depacelectro.com"
2016/11/23 19:58:48 [error] 7#7: *133 open() "/home/s/web/com/steven-luong/p><p class=" failed (2: No such file or directory), client: 82.237.72.55, server: , request: "GET /p%3E%3Cp%20class= HTTP/1.1", host: "slapps.fr:8888", referrer: "http://slapps.fr:8888/apollo/"
2016/11/24 11:01:09 [error] 6#6: *168 open() "/home/s/web/com/steven-luong/cache/global/img/gs.gif" failed (2: No such file or directory), client: 93.174.93.136, server: , request: "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1", host: "www.baidu.com"
2016/11/25 02:08:53 [error] 7#7: *173 open() "/home/s/web/com/steven-luong/cache/global/img/gs.gif" failed (2: No such file or directory), client: 94.102.49.174, server: , request: "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1", host: "www.baidu.com"
2016/11/25 08:16:45 [error] 7#7: *174 open() "/home/s/web/com/steven-luong/robots.txt" failed (2: No such file or directory), client: 194.199.7.23, server: , request: "GET /robots.txt HTTP/1.0", host: "slapps.fr:8888"
2016/11/25 08:19:06 [error] 7#7: *229 open() "/home/s/web/com/steven-luong/news.json" failed (2: No such file or directory), client: 194.199.7.23, server: , request: "GET /news.json HTTP/1.0", host: "slapps.fr:8888", referrer: "http://slapps.fr:8888/apollo/js/services.js"
2016/11/25 08:19:11 [error] 7#7: *230 open() "/home/s/web/com/steven-luong/sources.json" failed (2: No such file or directory), client: 194.199.7.23, server: , request: "GET /sources.json HTTP/1.0", host: "slapps.fr:8888", referrer: "http://slapps.fr:8888/apollo/js/services.js"
2016/11/25 15:24:31 [error] 7#7: *243 open() "/home/s/web/com/steven-luong/cache/global/img/gs.gif" failed (2: No such file or directory), client: 93.174.93.136, server: , request: "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1", host: "www.baidu.com"
2016/11/25 19:57:10 [error] 6#6: *244 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 115.238.252.28, server: , request: "POST / HTTP/1.0"
2016/11/25 21:57:14 [error] 7#7: *269 open() "/home/s/web/com/steven-luong/robots.txt" failed (2: No such file or directory), client: 157.55.39.13, server: , request: "GET /robots.txt HTTP/1.1", host: "slapps.fr"
2016/11/26 18:16:53 [error] 7#7: *273 open() "/home/s/web/com/steven-luong/cache/global/img/gs.gif" failed (2: No such file or directory), client: 94.102.49.174, server: , request: "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1", host: "www.baidu.com"
2016/11/26 19:41:47 [error] 7#7: *274 open() "/home/s/web/com/steven-luong/echo.php" failed (2: No such file or directory), client: 139.162.34.160, server: , request: "GET http://clientapi.ipip.net/echo.php?info=20161127034147 HTTP/1.1", host: "clientapi.ipip.net"
2016/11/26 19:44:40 [error] 7#7: *279 open() "/home/s/web/com/steven-luong/cache/global/img/gs.gif" failed (2: No such file or directory), client: 93.174.93.136, server: , request: "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1", host: "www.baidu.com"
2016/11/26 20:13:52 [error] 7#7: *300 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 93.174.93.21, server: , request: "GET / HTTP/1.1", host: "steven-luong.com"
2016/11/26 20:49:20 [error] 7#7: *305 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 93.174.93.151, server: , request: "GET / HTTP/1.1", host: "s.luong.fr"
2016/11/26 21:11:37 [error] 7#7: *306 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 93.174.93.164, server: , request: "GET / HTTP/1.1", host: "ks23407.kimsufi.com"
2016/11/26 22:23:12 [error] 7#7: *307 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 93.174.93.130, server: , request: "GET / HTTP/1.1", host: "www.slapps.fr"
2016/11/27 01:42:05 [error] 6#6: *312 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 89.248.174.37, server: , request: "GET / HTTP/1.1", host: "luong.fr"
2016/11/27 20:41:37 [error] 7#7: *355 open() "/home/s/web/com/steven-luong/robots.txt" failed (2: No such file or directory), client: 207.46.13.175, server: , request: "GET /robots.txt HTTP/1.1", host: "slapps.fr"
2016/11/28 03:46:09 [error] 6#6: *358 open() "/home/s/web/com/steven-luong/favicon.ico" failed (2: No such file or directory), client: 103.37.145.248, server: , request: "GET http://www.baidu.com/favicon.ico HTTP/1.1", host: "www.baidu.com"
2016/11/28 08:25:16 [error] 6#6: *359 open() "/home/s/web/com/steven-luong/cache/global/img/gs.gif" failed (2: No such file or directory), client: 93.174.93.136, server: , request: "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1", host: "www.baidu.com"
2016/11/28 10:23:18 [error] 7#7: *364 open() "/home/s/web/com/steven-luong/cache/global/img/gs.gif" failed (2: No such file or directory), client: 94.102.49.174, server: , request: "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1", host: "www.baidu.com"
2016/11/28 21:54:59 [error] 6#6: *368 open() "/home/s/web/com/steven-luong/robots.txt" failed (2: No such file or directory), client: 207.46.13.175, server: , request: "GET /robots.txt HTTP/1.1", host: "slapps.fr"
2016/11/29 02:48:28 [error] 6#6: *369 open() "/home/s/web/com/steven-luong/robots.txt" failed (2: No such file or directory), client: 68.180.229.92, server: , request: "GET /robots.txt HTTP/1.1", host: "slapps.fr:8888"
2016/11/29 12:37:08 [error] 7#7: *380 open() "/home/s/web/com/steven-luong/cache/global/img/gs.gif" failed (2: No such file or directory), client: 93.174.93.136, server: , request: "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1", host: "www.baidu.com"
2016/11/30 02:32:04 [error] 7#7: *407 open() "/home/s/web/com/steven-luong/cache/global/img/gs.gif" failed (2: No such file or directory), client: 94.102.49.174, server: , request: "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1", host: "www.baidu.com"
2016/11/30 10:36:23 [error] 7#7: *408 open() "/home/s/web/com/steven-luong/en/index.html" failed (2: No such file or directory), client: 54.93.114.232, server: , request: "GET http://www.germany.travel/en/index.html HTTP/1.1", host: "www.germany.travel"
2016/11/30 17:02:37 [error] 7#7: *410 open() "/home/s/web/com/steven-luong/cache/global/img/gs.gif" failed (2: No such file or directory), client: 93.174.93.136, server: , request: "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1", host: "www.baidu.com"
2016/11/30 19:44:45 [error] 6#6: *413 open() "/home/s/web/com/steven-luong/favicon.ico" failed (2: No such file or directory), client: 103.37.145.150, server: , request: "GET http://www.baidu.com/favicon.ico HTTP/1.1", host: "www.baidu.com"
2016/11/30 21:07:06 [error] 7#7: *443 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 169.54.233.119, server: , request: "GET / HTTP/1.1", host: "steven-luong.com"
2016/11/30 21:29:10 [error] 7#7: *444 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 169.54.233.126, server: , request: "GET / HTTP/1.1", host: "s.luong.fr"
2016/11/30 21:41:54 [error] 7#7: *445 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 169.54.233.119, server: , request: "GET / HTTP/1.1", host: "ks23407.kimsufi.com"
2016/11/30 22:24:12 [error] 7#7: *446 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 169.54.233.117, server: , request: "GET / HTTP/1.1", host: "www.slapps.fr"
2016/11/30 23:56:24 [error] 7#7: *450 open() "/home/s/web/com/steven-luong/favicon.ico" failed (2: No such file or directory), client: 82.237.72.55, server: , request: "GET /favicon.ico HTTP/1.1", host: "slapps.fr:8888"
2016/12/01 00:31:08 [error] 6#6: *474 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 169.54.233.119, server: , request: "GET / HTTP/1.1", host: "luong.fr"
2016/12/01 01:51:57 [error] 6#6: *475 open() "/home/s/web/com/steven-luong/echo.php" failed (2: No such file or directory), client: 139.162.34.160, server: , request: "GET http://clientapi.ipip.net/echo.php?info=20161201095156 HTTP/1.1", host: "clientapi.ipip.net"
2016/12/01 02:52:42 [error] 6#6: *482 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 198.16.54.122, server: , request: "GET / HTTP/1.1", host: "91.121.13.22:8888"
2016/12/01 02:52:42 [error] 6#6: *483 "/home/s/web/com/steven-luong/HNAP1/index.html" is not found (2: No such file or directory), client: 198.16.54.122, server: , request: "GET /HNAP1/ HTTP/1.1", host: "91.121.13.22:8888", referrer: "http://91.121.13.22:8888/"
2016/12/01 05:30:07 [error] 6#6: *484 open() "/home/s/web/com/steven-luong/favicon.ico" failed (2: No such file or directory), client: 180.150.178.125, server: , request: "GET http://www.baidu.com/favicon.ico HTTP/1.1", host: "www.baidu.com"
2016/12/01 07:20:37 [error] 6#6: *485 open() "/home/s/web/com/steven-luong/en/index.html" failed (2: No such file or directory), client: 54.93.114.232, server: , request: "GET http://www.germany.travel/en/index.html HTTP/1.1", host: "www.germany.travel"
2016/12/01 18:41:11 [error] 7#7: *486 open() "/home/s/web/com/steven-luong/cache/global/img/gs.gif" failed (2: No such file or directory), client: 94.102.49.174, server: , request: "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1", host: "www.baidu.com"
2016/12/01 21:28:17 [error] 6#6: *487 open() "/home/s/web/com/steven-luong/cache/global/img/gs.gif" failed (2: No such file or directory), client: 93.174.93.136, server: , request: "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1", host: "www.baidu.com"
2016/12/03 01:53:27 [error] 6#6: *488 open() "/home/s/web/com/steven-luong/cache/global/img/gs.gif" failed (2: No such file or directory), client: 93.174.93.136, server: , request: "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1", host: "www.baidu.com"
2016/12/03 10:49:39 [error] 7#7: *489 open() "/home/s/web/com/steven-luong/cache/global/img/gs.gif" failed (2: No such file or directory), client: 94.102.49.174, server: , request: "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1", host: "www.baidu.com"
2016/12/03 16:00:37 [error] 6#6: *490 open() "/home/s/web/com/steven-luong/en/index.html" failed (2: No such file or directory), client: 54.93.114.232, server: , request: "GET http://www.germany.travel/en/index.html HTTP/1.1", host: "www.germany.travel"
2016/12/03 23:33:47 [error] 7#7: *492 open() "/home/s/web/com/steven-luong/jmx-console" failed (2: No such file or directory), client: 151.80.138.177, server: , request: "GET /jmx-console HTTP/1.1", host: "91.121.13.22:8888"
2016/12/03 23:33:47 [error] 6#6: *493 open() "/home/s/web/com/steven-luong/script" failed (2: No such file or directory), client: 151.80.138.177, server: , request: "GET /script HTTP/1.1", host: "91.121.13.22:8888"
2016/12/03 23:33:47 [error] 7#7: *494 open() "/home/s/web/com/steven-luong/jenkins/script" failed (2: No such file or directory), client: 151.80.138.177, server: , request: "GET /jenkins/script HTTP/1.1", host: "91.121.13.22:8888"
2016/12/03 23:33:47 [error] 6#6: *495 open() "/home/s/web/com/steven-luong/hudson/script" failed (2: No such file or directory), client: 151.80.138.177, server: , request: "GET /hudson/script HTTP/1.1", host: "91.121.13.22:8888"
2016/12/03 23:33:47 [error] 7#7: *496 open() "/home/s/web/com/steven-luong/login" failed (2: No such file or directory), client: 151.80.138.177, server: , request: "GET /login HTTP/1.1", host: "91.121.13.22:8888"
2016/12/03 23:33:47 [error] 6#6: *497 open() "/home/s/web/com/steven-luong/jenkins/login" failed (2: No such file or directory), client: 151.80.138.177, server: , request: "GET /jenkins/login HTTP/1.1", host: "91.121.13.22:8888"
2016/12/03 23:33:47 [error] 7#7: *498 open() "/home/s/web/com/steven-luong/hudson/login" failed (2: No such file or directory), client: 151.80.138.177, server: , request: "GET /hudson/login HTTP/1.1", host: "91.121.13.22:8888"
2016/12/03 23:33:47 [error] 7#7: *499 open() "/home/s/web/com/steven-luong/manager/html" failed (2: No such file or directory), client: 151.80.138.177, server: , request: "GET /manager/html HTTP/1.1", host: "91.121.13.22:8888"
2016/12/04 03:33:34 [error] 7#7: *500 open() "/home/s/web/com/steven-luong/status" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /status?full=true HTTP/1.1", host: "91.121.13.22:8888"
